latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.601053,88.31776,12.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-05-02,31.1,23.0,4.10,4.10,63
2020-05-03,30.8,23.0,7.90,7.90,63
2020-05-04,31.8,23.9,5.60,5.60,63
2020-05-05,32.2,25.8,0.80,0.80,51
2020-05-06,31.8,23.6,0.10,0.10,51
2020-05-07,32.7,23.6,1.30,1.30,53
2020-05-08,33.7,23.6,0.00,0.00,3
2020-05-09,34.7,26.3,14.70,14.70,65
2020-05-10,34.6,25.8,12.70,12.70,65
2020-05-11,33.8,25.2,0.00,0.00,3
2020-05-12,34.3,25.5,0.00,0.00,3
2020-05-13,34.2,26.3,0.00,0.00,2
2020-05-14,34.1,27.0,0.00,0.00,1
2020-05-15,34.4,27.4,0.00,0.00,1
2020-05-16,35.3,27.4,0.00,0.00,1
2020-05-17,36.3,27.2,0.00,0.00,2
2020-05-18,35.1,25.7,0.00,0.00,3
2020-05-19,32.4,25.0,5.50,5.50,61
2020-05-20,28.2,23.4,99.10,99.10,65
2020-05-21,29.3,23.3,8.40,8.40,63
2020-05-22,33.1,24.2,0.00,0.00,3
2020-05-23,33.1,26.8,0.00,0.00,3
2020-05-24,33.0,27.6,0.00,0.00,2
2020-05-25,32.8,28.1,0.00,0.00,3
2020-05-26,31.5,28.1,0.00,0.00,3
2020-05-27,32.2,25.9,8.40,8.40,63
2020-05-28,32.1,26.4,3.10,3.10,55
2020-05-29,30.6,25.8,9.90,9.90,63
2020-05-30,32.6,26.7,3.90,3.90,61
2020-05-31,32.0,26.0,3.60,3.60,55
2020-06-01,32.6,26.9,2.00,2.00,55
2020-06-02,33.3,27.3,4.60,4.60,61
2020-06-03,32.6,26.7,6.10,6.10,63
2020-06-04,33.0,27.5,8.20,8.20,63
2020-06-05,31.8,27.4,9.10,9.10,63
2020-06-06,33.2,27.9,1.90,1.90,61
2020-06-07,33.2,27.3,5.70,5.70,63
2020-06-08,32.7,27.7,15.40,15.40,63
2020-06-09,33.4,26.6,0.50,0.50,51
2020-06-10,31.8,26.9,3.40,3.40,61
2020-06-11,30.5,26.3,16.90,16.90,63
2020-06-12,29.8,26.2,14.60,14.60,63
2020-06-13,31.1,26.5,10.20,10.20,61
2020-06-14,31.3,26.3,12.50,12.50,63
2020-06-15,31.6,26.0,22.70,22.70,63
2020-06-16,31.2,25.7,18.40,18.40,63
2020-06-17,29.1,25.9,33.30,33.30,65
2020-06-18,32.4,26.8,0.80,0.80,51
2020-06-19,30.9,27.2,24.10,24.10,65
2020-06-20,31.8,26.8,8.00,8.00,63
2020-06-21,32.2,25.8,6.50,6.50,63
2020-06-22,31.4,25.9,10.50,10.50,63
2020-06-23,32.2,26.4,4.80,4.80,63
2020-06-24,32.8,27.2,0.60,0.60,51
2020-06-25,33.3,27.6,0.00,0.00,3
2020-06-26,33.2,27.8,1.10,1.10,53
2020-06-27,31.1,27.8,9.00,9.00,63
2020-06-28,32.5,26.8,7.40,7.40,63
