latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.086115,72.85291,6.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-05-02,32.8,27.4,0.00,0.00,3
2020-05-03,32.8,27.7,0.00,0.00,1
2020-05-04,32.5,25.8,0.00,0.00,1
2020-05-05,33.0,26.1,0.00,0.00,1
2020-05-06,34.0,26.6,0.00,0.00,0
2020-05-07,32.7,25.4,0.00,0.00,1
2020-05-08,32.8,26.5,0.00,0.00,1
2020-05-09,32.6,27.3,0.00,0.00,2
2020-05-10,33.4,26.4,0.00,0.00,1
2020-05-11,34.1,26.7,0.00,0.00,1
2020-05-12,33.2,26.1,0.00,0.00,1
2020-05-13,33.1,26.3,0.00,0.00,2
2020-05-14,33.3,26.9,0.00,0.00,1
2020-05-15,33.3,27.9,0.00,0.00,2
2020-05-16,32.6,28.4,0.00,0.00,2
2020-05-17,32.9,27.8,0.00,0.00,2
2020-05-18,32.6,28.6,0.00,0.00,3
2020-05-19,32.5,28.1,0.10,0.10,51
2020-05-20,32.6,27.8,0.00,0.00,3
2020-05-21,32.8,27.8,0.00,0.00,2
2020-05-22,32.8,27.2,0.00,0.00,2
2020-05-23,33.2,26.3,0.00,0.00,1
2020-05-24,32.9,28.1,0.00,0.00,2
2020-05-25,32.9,28.1,0.20,0.20,51
2020-05-26,32.9,28.0,0.00,0.00,2
2020-05-27,33.0,28.2,0.20,0.20,51
2020-05-28,32.9,28.4,0.00,0.00,2
2020-05-29,33.6,28.5,0.30,0.30,51
2020-05-30,33.6,27.6,0.40,0.40,51
2020-05-31,34.6,28.2,0.30,0.30,51
2020-06-01,31.2,27.1,6.90,6.90,63
2020-06-02,30.1,25.9,11.60,11.60,61
2020-06-03,28.5,25.2,144.50,144.50,65
2020-06-04,29.1,26.7,10.00,10.00,61
2020-06-05,29.8,26.2,7.90,7.90,61
2020-06-06,29.0,25.7,8.20,8.20,55
2020-06-07,28.9,26.0,5.40,5.40,53
2020-06-08,28.5,25.7,8.00,8.00,61
2020-06-09,29.1,26.2,4.80,4.80,53
2020-06-10,29.9,26.6,9.70,9.70,63
2020-06-11,29.0,26.5,8.10,8.10,61
2020-06-12,28.8,26.4,4.20,4.20,61
2020-06-13,28.5,26.0,12.00,12.00,63
2020-06-14,29.8,26.0,4.60,4.60,61
2020-06-15,29.7,26.5,19.40,19.40,63
2020-06-16,28.4,26.5,27.90,27.90,63
2020-06-17,28.7,25.8,18.90,18.90,63
2020-06-18,28.2,25.9,30.10,30.10,63
2020-06-19,28.9,26.5,5.30,5.30,53
2020-06-20,29.0,26.8,4.90,4.90,53
2020-06-21,28.4,26.1,9.90,9.90,61
2020-06-22,28.7,26.0,5.80,5.80,53
2020-06-23,29.1,25.9,4.90,4.90,53
2020-06-24,29.3,26.0,3.00,3.00,51
2020-06-25,30.0,26.2,10.20,10.20,63
2020-06-26,29.6,26.6,10.50,10.50,63
2020-06-27,29.9,26.8,5.20,5.20,61
2020-06-28,30.2,26.4,14.90,14.90,63
2020-06-29,28.2,26.2,17.90,17.90,63
2020-06-30,28.3,26.4,18.20,18.20,63
2020-07-01,28.6,26.1,12.30,12.30,61
2020-07-02,29.4,26.0,18.10,18.10,63
2020-07-03,29.4,26.2,34.20,34.20,63
2020-07-04,27.4,26.0,169.80,169.80,65
2020-07-05,28.2,26.3,59.50,59.50,63
2020-07-06,28.9,26.1,24.90,24.90,63
2020-07-07,28.1,26.2,41.80,41.80,63
2020-07-08,28.2,25.7,26.40,26.40,61
2020-07-09,28.0,26.3,10.70,10.70,55
2020-07-10,28.4,26.1,12.30,12.30,61
2020-07-11,27.9,25.6,10.90,10.90,61
2020-07-12,28.0,25.8,19.30,19.30,61
2020-07-13,27.9,25.8,34.60,34.60,63
2020-07-14,28.4,25.8,35.70,35.70,63
2020-07-15,27.3,25.7,45.50,45.50,63
2020-07-16,27.5,25.6,45.80,45.80,63
2020-07-17,28.0,25.7,22.70,22.70,63
2020-07-18,28.0,25.9,11.70,11.70,55
2020-07-19,28.8,25.7,6.30,6.30,53
2020-07-20,28.1,26.3,5.50,5.50,53
2020-07-21,28.7,26.0,5.90,5.90,55
2020-07-22,29.2,26.3,2.70,2.70,53
2020-07-23,28.9,26.1,5.20,5.20,55
2020-07-24,27.8,26.1,18.90,18.90,61
2020-07-25,28.3,25.9,7.60,7.60,61
2020-07-26,28.7,25.4,10.80,10.80,61
2020-07-27,28.6,25.3,21.40,21.40,63
2020-07-28,28.4,25.9,7.50,7.50,61
2020-07-29,28.7,25.9,27.40,27.40,63
2020-07-30,28.0,25.5,107.70,107.70,65
2020-07-31,28.8,26.1,9.20,9.20,61
2020-08-01,29.2,25.9,3.10,3.10,53
2020-08-02,29.6,26.2,1.70,1.70,51
2020-08-03,28.0,26.1,37.30,37.30,63
2020-08-04,27.3,26.5,153.30,153.30,65
2020-08-05,26.9,26.0,144.10,144.10,65
2020-08-06,28.2,26.5,55.40,55.40,65
2020-08-07,28.4,26.2,12.50,12.50,61
2020-08-08,28.9,25.9,8.90,8.90,55
2020-08-09,28.5,25.8,5.00,5.00,53
2020-08-10,27.1,25.5,15.00,15.00,61
2020-08-11,26.9,25.4,27.50,27.50,61
2020-08-12,27.6,25.6,27.50,27.50,61
2020-08-13,27.4,25.6,28.50,28.50,63
2020-08-14,26.3,25.4,57.10,57.10,63
2020-08-15,26.8,25.4,48.60,48.60,63
2020-08-16,27.3,25.8,34.60,34.60,63
2020-08-17,26.5,25.3,33.40,33.40,63
2020-08-18,26.7,25.4,17.50,17.50,61
2020-08-19,28.3,25.4,12.10,12.10,61
2020-08-20,27.4,25.4,36.80,36.80,63
2020-08-21,27.2,25.2,42.80,42.80,63
2020-08-22,27.5,25.6,14.10,14.10,61
2020-08-23,27.9,25.3,8.60,8.60,53
2020-08-24,28.7,25.5,8.00,8.00,53
2020-08-25,28.6,25.8,3.60,3.60,51
2020-08-26,28.9,25.5,4.70,4.70,53
2020-08-27,27.4,25.2,9.80,9.80,61
2020-08-28,26.9,25.3,29.70,29.70,63
2020-08-29,26.0,25.1,34.50,34.50,63
2020-08-30,26.5,25.3,21.60,21.60,61
2020-08-31,27.3,25.1,14.40,14.40,61
2020-09-01,27.9,24.9,3.70,3.70,51
2020-09-02,29.1,25.4,2.40,2.40,53
2020-09-03,29.7,25.8,1.20,1.20,51
2020-09-04,30.9,25.6,3.30,3.30,63
2020-09-05,30.3,25.3,0.60,0.60,51
2020-09-06,30.2,26.9,10.10,10.10,63
2020-09-07,28.8,26.3,2.70,2.70,53
2020-09-08,29.3,25.1,12.40,12.40,63
2020-09-09,29.8,26.5,5.10,5.10,61
2020-09-10,29.1,25.9,4.80,4.80,61
2020-09-11,28.7,26.1,27.50,27.50,63
2020-09-12,28.8,25.3,5.40,5.40,61
2020-09-13,28.1,26.1,6.40,6.40,55
2020-09-14,28.2,25.8,7.70,7.70,55
2020-09-15,28.2,25.2,8.70,8.70,61
2020-09-16,28.1,25.0,9.30,9.30,61
2020-09-17,27.9,25.7,10.60,10.60,61
2020-09-18,27.7,25.4,12.40,12.40,61
2020-09-19,29.0,25.3,4.40,4.40,61
2020-09-20,29.0,25.5,4.70,4.70,61
2020-09-21,29.7,25.7,16.30,16.30,63
2020-09-22,28.8,25.9,17.60,17.60,63
2020-09-23,26.7,25.5,150.20,150.20,65
2020-09-24,28.7,25.5,7.80,7.80,61
2020-09-25,28.1,25.9,6.40,6.40,55
2020-09-26,29.2,25.5,2.50,2.50,51
2020-09-27,27.7,25.0,2.50,2.50,51
2020-09-28,28.0,25.0,3.00,3.00,51
2020-09-29,28.6,24.8,0.90,0.90,51
2020-09-30,28.7,24.7,1.20,1.20,53
2020-10-01,29.0,24.7,1.80,1.80,51
2020-10-02,29.6,25.5,1.50,1.50,51
2020-10-03,29.3,25.0,2.80,2.80,55
2020-10-04,27.8,25.4,9.00,9.00,63
2020-10-05,28.4,25.2,2.30,2.30,53
2020-10-06,30.3,24.6,0.70,0.70,51
2020-10-07,30.3,25.4,0.70,0.70,53
2020-10-08,30.9,26.6,0.00,0.00,3
2020-10-09,31.8,26.6,0.90,0.90,53
2020-10-10,30.5,26.5,7.20,7.20,63
2020-10-11,29.4,26.6,3.30,3.30,53
2020-10-12,30.3,26.0,2.90,2.90,53
2020-10-13,30.6,26.1,5.00,5.00,63
2020-10-14,29.6,26.1,6.80,6.80,61
2020-10-15,30.9,25.8,28.40,28.40,63
2020-10-16,30.4,25.9,0.30,0.30,51
2020-10-17,29.9,26.0,1.10,1.10,51
2020-10-18,28.9,26.0,0.40,0.40,51
2020-10-19,29.1,25.5,4.80,4.80,61
2020-10-20,30.0,25.2,4.60,4.60,61
2020-10-21,30.5,25.3,8.70,8.70,63
2020-10-22,29.4,24.6,15.40,15.40,63
2020-10-23,30.1,24.4,1.30,1.30,51
2020-10-24,28.4,25.8,2.80,2.80,55
2020-10-25,29.2,24.8,3.90,3.90,61
2020-10-26,31.0,25.4,0.00,0.00,3
2020-10-27,31.1,24.7,0.00,0.00,3
2020-10-28,31.6,23.6,0.00,0.00,1
2020-10-29,30.2,23.4,0.00,0.00,0
2020-10-30,31.2,22.8,0.00,0.00,0
2020-10-31,30.8,21.5,0.00,0.00,0
2020-11-01,30.7,22.8,0.00,0.00,1
2020-11-02,32.0,23.6,0.00,0.00,2
