latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.970123,77.56364,910.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-05-02,33.1,23.4,0.10,0.10,51
2020-05-03,33.4,22.4,0.00,0.00,3
2020-05-04,33.7,22.8,0.00,0.00,3
2020-05-05,34.2,22.5,0.00,0.00,2
2020-05-06,34.8,23.0,0.20,0.20,51
2020-05-07,34.3,22.9,0.10,0.10,51
2020-05-08,33.8,22.7,0.10,0.10,51
2020-05-09,34.8,22.5,0.00,0.00,3
2020-05-10,35.2,21.8,0.00,0.00,3
2020-05-11,34.0,22.1,0.00,0.00,3
2020-05-12,35.0,21.7,0.00,0.00,3
2020-05-13,34.4,21.6,0.00,0.00,3
2020-05-14,35.1,22.2,0.00,0.00,3
2020-05-15,35.1,22.5,0.00,0.00,3
2020-05-16,35.2,22.9,0.50,0.50,51
2020-05-17,34.1,23.3,5.70,5.70,63
2020-05-18,31.7,22.9,5.10,5.10,55
2020-05-19,31.7,21.9,0.30,0.30,51
2020-05-20,33.2,21.1,0.00,0.00,3
2020-05-21,33.8,20.8,0.00,0.00,3
2020-05-22,33.7,21.8,0.00,0.00,3
2020-05-23,36.2,22.3,0.00,0.00,2
2020-05-24,33.3,22.5,0.00,0.00,2
2020-05-25,33.7,22.4,0.00,0.00,3
2020-05-26,33.3,22.5,0.80,0.80,53
2020-05-27,32.5,22.8,11.00,11.00,63
2020-05-28,32.5,22.5,0.90,0.90,53
2020-05-29,32.8,22.4,8.50,8.50,63
2020-05-30,29.3,22.0,1.70,1.70,55
2020-05-31,31.0,21.9,0.20,0.20,51
2020-06-01,30.2,20.8,4.30,4.30,61
2020-06-02,26.7,21.1,1.60,1.60,53
2020-06-03,28.5,20.8,0.30,0.30,51
2020-06-04,28.8,20.4,3.40,3.40,61
2020-06-05,28.8,20.0,9.40,9.40,63
2020-06-06,28.7,20.1,14.50,14.50,63
2020-06-07,27.8,20.5,8.30,8.30,63
2020-06-08,29.4,20.4,0.20,0.20,51
