latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
17.398945,78.457085,505.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2020-05-02,35.9,23.6,0.10,0.10,51
2020-05-03,37.3,24.5,0.00,0.00,2
2020-05-04,37.2,25.2,0.00,0.00,3
2020-05-05,36.8,25.1,0.00,0.00,1
2020-05-06,36.7,25.3,0.00,0.00,1
2020-05-07,36.4,25.0,0.10,0.10,51
2020-05-08,35.6,25.6,0.10,0.10,51
2020-05-09,36.5,27.7,0.00,0.00,3
2020-05-10,36.3,25.2,0.40,0.40,51
2020-05-11,35.0,24.0,0.00,0.00,2
2020-05-12,35.8,24.9,0.00,0.00,3
2020-05-13,35.9,24.5,0.00,0.00,2
2020-05-14,36.4,24.9,0.00,0.00,1
2020-05-15,36.3,25.1,0.20,0.20,51
2020-05-16,36.1,26.1,0.40,0.40,51
2020-05-17,36.7,25.1,0.00,0.00,3
2020-05-18,36.3,25.7,0.20,0.20,51
2020-05-19,37.0,25.7,0.00,0.00,3
2020-05-20,38.3,25.2,0.00,0.00,3
2020-05-21,39.3,26.0,0.00,0.00,3
2020-05-22,38.8,23.0,0.00,0.00,3
2020-05-23,39.3,23.4,0.00,0.00,1
2020-05-24,39.0,25.0,0.00,0.00,2
2020-05-25,38.2,25.9,0.20,0.20,51
2020-05-26,38.1,26.7,0.10,0.10,51
2020-05-27,38.3,28.0,0.10,0.10,51
2020-05-28,39.7,28.4,0.00,0.00,3
2020-05-29,38.5,27.5,0.00,0.00,1
2020-05-30,36.8,26.9,0.00,0.00,2
2020-05-31,35.0,26.8,3.00,3.00,63
2020-06-01,32.8,24.1,6.00,6.00,61
2020-06-02,33.7,23.9,8.00,8.00,61
2020-06-03,31.9,23.6,3.80,3.80,61
2020-06-04,31.8,24.7,0.00,0.00,3
2020-06-05,33.7,25.1,0.10,0.10,51
2020-06-06,34.1,24.8,0.50,0.50,51
2020-06-07,34.7,25.4,0.00,0.00,3
2020-06-08,35.5,25.9,0.20,0.20,51
2020-06-09,35.4,26.2,0.20,0.20,51
2020-06-10,31.9,24.5,13.20,13.20,63
2020-06-11,26.8,23.4,19.70,19.70,61
2020-06-12,26.2,23.0,36.00,36.00,65
2020-06-13,30.3,23.4,3.10,3.10,63
2020-06-14,31.4,24.0,2.40,2.40,61
2020-06-15,30.5,24.7,2.40,2.40,55
2020-06-16,29.2,24.0,24.70,24.70,63
2020-06-17,28.5,23.2,18.50,18.50,61
2020-06-18,29.2,23.3,4.00,4.00,53
2020-06-19,30.0,23.3,2.70,2.70,53
2020-06-20,31.5,24.3,1.20,1.20,53
2020-06-21,26.8,23.9,6.40,6.40,61
2020-06-22,28.4,23.7,0.30,0.30,51
2020-06-23,32.1,23.7,0.10,0.10,51
2020-06-24,31.5,23.7,0.50,0.50,51
2020-06-25,32.3,23.2,4.70,4.70,61
2020-06-26,32.4,23.6,0.20,0.20,51
2020-06-27,32.3,24.4,15.40,15.40,63
2020-06-28,31.4,24.0,8.50,8.50,63
2020-06-29,31.3,23.6,4.20,4.20,61
2020-06-30,30.6,23.4,2.60,2.60,53
2020-07-01,31.4,23.5,1.00,1.00,53
